cod_pais,nom_pais,Region,Provincia,Cod prov,Departamento,Cod dpto,Año del dato,Tenencia de la tierra,Cantidad de NAFs
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2013,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2014,No declara tierra con límite,5
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2014,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2014,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2014,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2015,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2015,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2015,Tenedor,6
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2016,No declara tierra con límite,6
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2016,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2017,No declara tierra con límite,3
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,2017,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BARADERO,70,Sin dato,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2010,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2011,Posesión,5
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2011,Propietario,5
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2011,Tenedor,18
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2014,No declara tierra con límite,3
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2014,Otra condición,12
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2014,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2015,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2015,Propietario,2
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2016,No declara tierra con límite,5
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2016,Otra condición,2
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2016,Propietario,6
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2016,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BENITO JUAREZ,84,2017,No declara tierra con límite,12
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2009,Declara pero aún no se determinó la condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2009,Otra condición,18
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2009,Tenedor,33
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2010,Otra condición,5
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2010,Posesión,3
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2010,Propietario,9
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2010,Tenedor,25
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2011,Declara pero aún no se determinó la condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2011,Integrante,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2011,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2011,Posesión,18
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2011,Propietario,40
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2011,Tenedor,123
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2012,Integrante,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2012,No declara tierra con límite,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2012,Otra condición,4
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2012,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2012,Propietario,12
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2012,Tenedor,36
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2013,No declara tierra con límite,11
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2013,Otra condición,2
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2013,Propietario,3
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2013,Tenedor,14
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2014,No declara tierra con límite,5
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2014,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,BERAZATEGUI,91,2014,Tenedor,2
