cod_pais;nom_pais;region;cod_provincia;nom_provincia;cod_depto;nom_depto;Cant_de_naf;año_de_registro;integ_del_NAF;integ_menores_de_edad;integ_mayores_de_edad;integ_que_trabajan_en_el_predio;cant_de_mujeres_integrantes_del_NAF;cant_de_varones_integrantes_del_NAF
32;Argentina;NOA;66;SALTA;7;ANTA;2;Sin dato;3;0;3;2;1;2
32;Argentina;NOA;10;CATAMARCA;28;ANTOFAGASTA DE LA SIERRA;109;2010;424;184;240;313;226;198
32;Argentina;NOA;10;CATAMARCA;28;ANTOFAGASTA DE LA SIERRA;24;2011;66;32;34;36;35;31
32;Argentina;NOA;10;CATAMARCA;28;ANTOFAGASTA DE LA SIERRA;57;2012;214;99;115;129;104;110
32;Argentina;NOA;10;CATAMARCA;28;ANTOFAGASTA DE LA SIERRA;8;2013;25;12;13;14;14;11
32;Argentina;NOA;10;CATAMARCA;28;ANTOFAGASTA DE LA SIERRA;4;2014;15;10;5;8;8;7
32;Argentina;NOA;10;CATAMARCA;28;ANTOFAGASTA DE LA SIERRA;1;2016;1;0;1;1;0;1
32;Argentina;NOA;10;CATAMARCA;28;ANTOFAGASTA DE LA SIERRA;1;2017;2;1;1;0;1;1
32;Argentina;PATAGONIA;58;NEUQUEN;14;AÑELO;37;2010;110;43;67;65;57;53
32;Argentina;PATAGONIA;58;NEUQUEN;14;AÑELO;39;2011;119;40;79;78;66;53
32;Argentina;PATAGONIA;58;NEUQUEN;14;AÑELO;41;2012;132;46;86;87;56;76
32;Argentina;PATAGONIA;58;NEUQUEN;14;AÑELO;4;2013;5;1;4;5;2;3
32;Argentina;PATAGONIA;58;NEUQUEN;14;AÑELO;1;2014;7;4;3;3;4;3
32;Argentina;PATAGONIA;58;NEUQUEN;14;AÑELO;1;2017;2;0;2;0;1;1
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;34;2009;119;65;54;53;55;64
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;33;2010;106;54;52;56;56;50
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;64;2011;215;100;115;127;111;104
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;17;2012;38;15;23;29;23;15
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;5;2013;22;9;13;11;15;7
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;40;2014;124;36;88;92;67;57
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;209;2015;597;103;494;453;288;309
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;12;2016;34;10;24;23;14;20
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;50;2017;155;53;102;13;70;82
32;Argentina;NEA;54;MISIONES;7;APOSTOLES;13;Sin dato;23;2;20;5;12;11
32;Argentina;CUYO;46;LA RIOJA;7;ARAUCO;26;2012;89;14;75;51;39;50
